client_id,application_date,age,annual_income,loan_amount,term_months,interest_rate,loan_purpose,employment_status,credit_score,dti,default
1,2022-10-08,59,12000.0,11941.81,24,0.091,debt_consolidation,employed,580,9.91,1
2,2022-01-06,49,32757.56,17949.88,36,0.0774,education,student,720,2.91,0
3,2022-09-21,35,32133.05,9843.01,48,0.099,home_improvement,employed,671,1.8,0
4,2022-02-22,63,52161.87,19158.62,48,0.0463,car,student,713,3.6,0
5,2022-01-19,28,39004.73,11158.3,36,0.1636,debt_consolidation,employed,696,3.03,0
6,2022-09-22,41,31428.67,8849.05,36,0.0574,car,self_employed,592,2.41,0
7,2022-06-10,59,33918.5,19501.72,48,0.1066,small_business,employed,728,2.62,0
8,2022-06-09,39,47280.63,6397.48,48,0.0918,small_business,unemployed,646,1.0,0
9,2022-01-23,43,32784.98,7650.58,48,0.1254,other,unemployed,524,2.88,1
10,2022-06-11,31,26621.65,6626.72,24,0.0953,debt_consolidation,unemployed,691,2.5,1
11,2022-12-09,31,31691.57,5144.43,60,0.0709,car,employed,586,1.2,1
12,2023-02-20,44,46288.35,12918.2,36,0.0343,debt_consolidation,unemployed,748,2.43,1
13,2023-01-20,56,40953.98,8922.39,12,0.0366,other,employed,662,2.73,0
14,2022-01-07,60,35531.22,14931.68,24,0.0829,debt_consolidation,employed,684,2.95,0
15,2023-06-20,44,37298.47,1592.16,12,0.1311,car,employed,711,1.0,1
16,2022-05-10,23,28283.09,5264.71,12,0.0398,other,employed,686,1.42,1
17,2022-09-13,42,32672.61,12309.47,24,0.1455,car,self_employed,644,2.02,1
18,2022-09-07,22,27040.35,20818.08,12,0.1226,home_improvement,employed,747,8.87,0
19,2022-12-05,44,31462.65,14271.01,36,0.0495,debt_consolidation,employed,673,1.47,0
20,2023-09-10,64,51154.14,8463.66,12,0.0574,car,self_employed,612,1.0,1
21,2022-12-22,50,22065.54,3062.81,24,0.0605,other,student,701,2.34,1
22,2022-11-08,58,26735.39,8112.92,12,0.099,home_improvement,self_employed,675,4.46,0
23,2023-04-28,22,19948.41,11745.1,12,0.0883,debt_consolidation,self_employed,678,7.09,1
24,2022-02-01,41,17349.09,1000.0,24,0.0872,debt_consolidation,employed,687,1.14,1
25,2023-08-12,53,32758.74,4719.78,36,0.0749,debt_consolidation,unemployed,683,2.97,0
26,2022-04-03,32,27588.69,7574.66,60,0.0953,home_improvement,student,767,3.5,0
27,2023-06-06,42,56140.27,10455.55,48,0.1151,debt_consolidation,employed,631,4.59,1
28,2022-02-03,64,31605.84,11673.98,48,0.0862,home_improvement,employed,555,1.0,0
29,2023-09-15,45,50472.76,8334.79,24,0.0701,car,retired,680,3.63,0
30,2022-10-16,69,46616.08,15035.24,24,0.1198,small_business,student,729,1.0,0
31,2022-12-10,47,32492.55,12748.24,12,0.0834,debt_consolidation,employed,586,3.45,1
32,2023-09-01,62,60321.63,9779.62,48,0.1066,small_business,employed,701,3.41,0
33,2023-05-23,48,38222.41,15862.65,12,0.087,car,unemployed,595,6.22,1
34,2022-11-09,36,53156.11,15371.64,36,0.1226,car,employed,730,1.53,0
35,2023-10-24,35,51759.16,3277.21,24,0.127,other,employed,680,1.0,0
36,2022-07-23,67,39975.78,11807.83,24,0.1259,debt_consolidation,self_employed,627,2.35,0
37,2022-08-10,64,44013.57,17341.56,60,0.0734,home_improvement,employed,583,6.42,1
